,CountryISO,AppName,AppID,AppRating,Usage,Platform
221,GB,DoggiePubs,,,Paid,Android
222,AU,Hema4X4Explorer-Ultimate4WDandoffroadmaps,,,Paid,Android
223,AU,MundaBiddiTrailGuide,,,Paid,Android
224,BR,Booking.com: Hotels and more,com.booking,4.6,Free,Android
225,BR,123milhas: viagens em oferta,com.a123milhas.app,4.0,Free,Android
226,BR,ClickBus-Passagensdeônibus,,,Free,Android
227,BR,BlaBlaCar:CaronaseÔnibus,,,Free,Android
228,BR,LATAMAirlines,,,Free,Android
229,BR,Decolar:VooseHotéis,,,Free,Android
230,BR,"Hurb: Hotels, travel and more",br.com.hotelurbano,4.8,Free,Android
231,BR,Livelo: juntar e trocar pontos,br.com.livelo.app,3.7,Free,Android
232,BR,Buser - O app do ônibus,br.com.buser.AppBuser,4.0,Free,Android
233,BR,Localiza-AlugueldeCarros,,,Free,Android
234,BR,Azul,br.com.voeazul,4.0,Free,Android
235,BR,Unidas-AlugueldeCarros,,,Free,Android
236,BR,trivago: Compare hotel prices,com.trivago,4.8,Free,Android
237,BR,"CVC:Pacotes,voosehotéis",,,Free,Android
238,BR,GOL|PassagensAéreas,,,Free,Android
239,BR,Hoteis.com:HotéisePousadas,,,Free,Android
240,BR,LATAMPass,,,Free,Android
241,BR,Movida:AlugueldeCarroseReservas,,,Free,Android
242,BR,SkyscannerVoosHotéisCarros,,,Free,Android
243,BR,MaxMilhas:PassagensAéreas,,,Free,Android
244,BR,BikeItaú:Alugarbicicleta,,,Free,Android
245,BR,Smiles:ViajecomMilhas,,,Free,Android
246,BR,GPSvivoSatéliteVistaMapa,,,Free,Android
247,BR,QueroPassagem,,,Free,Android
248,BR,FlixBus-Viagensdeônibus,,,Free,Android
249,BR,MapadeSatéliteEarthaovivo,,,Free,Android
250,BR,guia de motéis go,br.com.guiademoteis.go.android,4.7,Free,Android
251,BR,ClickBus - Bus Tickets,com.clickbus.mobile,4.7,Free,Android
252,BR,GuiadoFIG,,,Free,Android
253,BR,GPSmapasevoznavegaçãorota,,,Free,Android
254,BR,Garupa - Chame um motorista,co.garupa,2.6,Free,Android
255,BR,Family Locator Tracker GPS,ar.com.megaingenieria.emobi.locator,4.3,Free,Android
256,BR,"KAYAK-Voos,HotéiseCarros",,,Free,Android
257,BR,LocalizadorFamiliareCelular-FamilyLocator,,,Free,Android
258,BR,ViajeGuanabara,,,Free,Android
259,BR,VisaAirportCompanion,,,Free,Android
260,BR,Rentcars: Car rental,com.rentcars.rentcarscom,4.6,Free,Android
261,BR,GPSnavegaçãoMapaaovivo,,,Free,Android
262,BR,Dinosaur 4D+,com.OctagonStudio.ARDinoVR,3.8,Free,Android
263,BR,PassagensImperdíveis,,,Free,Android
264,BR,DeÔnibus | Brazil by Bus,com.deonibus,3.3,Free,Android
265,BR,wemobi,me.wemobi.wemobiapp,,Free,Android
266,BR,NavegaçãodoGoogleMapsGo,,,Free,Android
267,BR,BetoCarreroWorld,,,Free,Android
268,BR,MastercardAirportExperiences,,,Free,Android
269,BR,VVChat-Viagensesociais,,,Free,Android
270,BR,GPSNavegação:liveearthmap,,,Free,Android
271,BR,GuiadeMotéis-Oficial,,,Free,Android
272,BR,MelhoresDestinos:Viagens,,,Free,Android
273,BR,TAPAirPortugal,,,Free,Android
274,BR,SatelliteViewEarthGlobeMap,,,Free,Android
275,BR,Tripadvisor: Plan & Book Trips,com.tripadvisor.tripadvisor,4.6,Free,Android
276,BR,"Trip.com: Book Flights, Hotels",ctrip.english,4.7,Free,Android
277,BR,Turismocity Vuelos Baratos,com.grupodc.turismocity,4.6,Free,Android
278,BR,TradutorFoto-Traduzir,,,Free,Android
279,BR,AovivoRastreiodeVôos-horárioOnlinedeVoos,,,Free,Android
280,BR,VelocimetroDigital-Odometro,,,Free,Android
281,BR,"DogHero-Hotel,crecheepasseioparacachorros",,,Free,Android
282,BR,NavegaçãoGPS:LocalizaçãoGPS,,,Free,Android
283,BR,MotoTáxiOficial,,,Free,Android
284,BR,Oktoplus-MilhasePassagensAéreas,,,Free,Android
285,BR,off-linemapas:GPSnavegação,,,Free,Android
286,BR,leisecarj-LeisecaMaps,,,Free,Android
287,BR,BússolaDigitalApp:BússolaInteligente,,,Free,Android
288,BR,LoungeKey,,,Free,Android
289,BR,ÁguiaBranca,,,Free,Android
290,BR,Tembici:BicicletasCompartilhadas,,,Free,Android
291,BR,GPSNavegaçãoEMapaDireção,,,Free,Android
292,BR,LightSpeedhero:CrimeSimulator:superherogames,,,Free,Android
293,BR,Câmeraaovivo-StreetView,,,Free,Android
294,BR,NatalDigital,,,Free,Android
295,BR,FlipOn,,,Free,Android
296,BR,Gipsyy-PassagensRodoviárias,,,Free,Android
297,BR,ViajaNet:PassagensAéreas,,,Free,Android
298,BR,PickupTruck-RacingTruck,,,Free,Android
299,BR,GPSStatus&Toolbox,,,Free,Android
300,BR,MapLocationTimeline,,,Free,Android
301,BR,ClubeGiro,,,Free,Android
302,BR,GPSrotarastreamentoEmapas,,,Free,Android
303,BR,UTIL–Viajecomsegurança,,,Free,Android
304,BR,MonstroCaminhão2020AçoTitãsDirigindo,,,Free,Android
305,BR,CarbitLink-EasyConnection,,,Free,Android
306,BR,HolidaySwap,,,Free,Android
307,BR,PhoneNumberLocatorCallerID,,,Free,Android
308,BR,PassaroMarron,,,Free,Android
309,BR,Voelivre:EncontrePassagensAéreasemPromoção,,,Free,Android
